# redshift, dNdz, bias
3.260000000000000120e-01 2.388566708574303448e+03 1.500000000000000000e+00
3.270000000000000129e-01 2.396189133203669371e+03 1.500000000000000000e+00
3.280000000000000138e-01 2.403790921476252151e+03 1.500000000000000000e+00
3.290000000000000147e-01 2.411371997704173737e+03 1.500000000000000000e+00
3.300000000000000155e-01 2.418932287206624096e+03 1.500000000000000000e+00
3.310000000000000164e-01 2.426471716303469748e+03 1.500000000000000000e+00
3.320000000000000173e-01 2.433990212308895934e+03 1.500000000000000000e+00
3.330000000000000182e-01 2.441487703525081997e+03 1.500000000000000000e+00
3.340000000000000191e-01 2.448964119235906765e+03 1.500000000000000000e+00
3.350000000000000200e-01 2.456419389700686679e+03 1.500000000000000000e+00
3.360000000000000209e-01 2.463853446147947125e+03 1.500000000000000000e+00
3.370000000000000218e-01 2.471266220769221945e+03 1.500000000000000000e+00
3.380000000000000226e-01 2.478657646712885253e+03 1.500000000000000000e+00
3.390000000000000235e-01 2.486027658078018248e+03 1.500000000000000000e+00
3.400000000000000244e-01 2.493376189908299693e+03 1.500000000000000000e+00
3.410000000000000253e-01 2.500703178185932757e+03 1.500000000000000000e+00
3.420000000000000262e-01 2.508008559825604152e+03 1.500000000000000000e+00
3.430000000000000271e-01 2.515292272668466921e+03 1.500000000000000000e+00
3.440000000000000280e-01 2.522554255476158687e+03 1.500000000000000000e+00
3.450000000000000289e-01 2.529794447924850829e+03 1.500000000000000000e+00
3.460000000000000298e-01 2.537012790599324944e+03 1.500000000000000000e+00
3.470000000000000306e-01 2.544209224987080688e+03 1.500000000000000000e+00
3.480000000000000315e-01 2.551383693472477717e+03 1.500000000000000000e+00
3.490000000000000324e-01 2.558536139330891729e+03 1.500000000000000000e+00
3.500000000000000333e-01 2.565666506722927807e+03 1.500000000000000000e+00
3.510000000000000342e-01 2.572774740688632846e+03 1.500000000000000000e+00
3.519999999999999796e-01 2.579860787141760738e+03 1.500000000000000000e+00
3.529999999999999805e-01 2.586924592864054375e+03 1.500000000000000000e+00
3.539999999999999813e-01 2.593966105499559944e+03 1.500000000000000000e+00
3.549999999999999822e-01 2.600985273548971691e+03 1.500000000000000000e+00
3.559999999999999831e-01 2.607982046364004418e+03 1.500000000000000000e+00
