# k power
1.787525525904235316e-02 7.175125279771666101e+04
1.808244934877951612e-02 7.123997514207236236e+04
1.829204504846293836e-02 7.071891648142930353e+04
1.850407019542302245e-02 7.018840036137159041e+04
1.871855294965579092e-02 6.964877539940633869e+04
1.893552179756295348e-02 6.910040174896070675e+04
1.915500555573527997e-02 6.854365020020976954e+04
1.937703337477988952e-02 6.797891621293080971e+04
1.960163474319185847e-02 6.740659425708944036e+04
1.982883949127071249e-02 6.682710882249988208e+04
2.005867779508234069e-02 6.624090885167689703e+04
2.029118018046677935e-02 6.564844819523247133e+04
2.052637752709252084e-02 6.505019473217346967e+04
2.076430107255774690e-02 6.444663488907653664e+04
2.100498241653915230e-02 6.383824993389195879e+04
2.124845352498882720e-02 6.322554846787638962e+04
2.149474673437980557e-02 6.260904958750981314e+04
2.174389475600079988e-02 6.198927580243195553e+04
2.199593068030074663e-02 6.136678900116885052e+04
2.225088798128369363e-02 6.074217436532734428e+04
2.250880052095461867e-02 6.011598940509718523e+04
2.276970255381680075e-02 5.948874258273386658e+04
2.303362873142131284e-02 5.886088781555125752e+04
2.330061410696924670e-02 5.823297730896370922e+04
2.357069413996727703e-02 5.760586705530188192e+04
2.384390470093720321e-02 5.698054131421005150e+04
2.412028207618006903e-02 5.635749533274963323e+04
2.439986297259550199e-02 5.573630527213903406e+04
2.468268452255692469e-02 5.511613982621677133e+04
2.496878428884326609e-02 5.449684678323418484e+04
2.525820026962784584e-02 5.387941871724783414e+04
2.555097090352506997e-02 5.326503342282542144e+04
2.584713507469563881e-02 5.265480703796257876e+04
2.614673211801091940e-02 5.204980137137522252e+04
2.644980182427720053e-02 5.145101844802197593e+04
2.675638444552045150e-02 5.085926595903163980e+04
2.706652070033241375e-02 5.027508160564902209e+04
2.738025177927857698e-02 4.969896552209853689e+04
2.769761935036891068e-02 4.913143519287550589e+04
2.801866556459195468e-02 4.857301798378327658e+04
2.834343306151309444e-02 4.802421138718222937e+04
2.867196497493769772e-02 4.748543958889511850e+04
2.900430493863991738e-02 4.695705579981214396e+04
2.934049709215787172e-02 4.643939015934708004e+04
2.968058608665602449e-02 4.593268381569281337e+04
3.002461709085549324e-02 4.543713689201242960e+04
3.037263579703311511e-02 4.495290399290705682e+04
3.072468842709003348e-02 4.448006140367608168e+04
3.108082173869063797e-02 4.401862207015605964e+04
3.144108303147264555e-02 4.356858147547364933e+04
3.180552015332920035e-02 4.312982203251524334e+04
3.217418150676371741e-02 4.270220307726763713e+04
3.254711605531847990e-02 4.228553880692800885e+04
3.292437333007768724e-02 4.187956961688196316e+04
3.330600343624588733e-02 4.148400034999056516e+04
3.369205705980267418e-02 4.109852741554730164e+04
3.408258547423451829e-02 4.072278552200148260e+04
3.447764054734463873e-02 4.035641615838184953e+04
3.487727474814177747e-02 3.999898403322441300e+04
3.528154115380883332e-02 3.964993640685478022e+04
3.569049345675229939e-02 3.930872431702067843e+04
3.610418597173337130e-02 3.897500106375750329e+04
3.652267364308175307e-02 3.864870612365005945e+04
3.694601205199302130e-02 3.832980358379251265e+04
3.737425742391064371e-02 3.801770392346967856e+04
3.780746663599349189e-02 3.771110636398876522e+04
3.824569722466999305e-02 3.740905473325256025e+04
3.868900739327975347e-02 3.711279834910816862e+04
3.913745601980384015e-02 3.682566037679492729e+04
3.959110266468458816e-02 3.655035670950975327e+04
4.005000757873611317e-02 3.628460312473383965e+04
4.051423171114647281e-02 3.602261748433987668e+04
4.098383671757261509e-02 3.575880784467510239e+04
4.145888496832911274e-02 3.548807943422450626e+04
4.193943955667186335e-02 3.520969540934450924e+04
4.242556430717776828e-02 3.492516245622597489e+04
4.291732378422157684e-02 3.463644857604411663e+04
4.341478330055092288e-02 3.434458640685143473e+04
4.391800892596085804e-02 3.404889081440964219e+04
4.442706749606882555e-02 3.374753862077523809e+04
4.494202662119142072e-02 3.343883994543992594e+04
4.546295469532399269e-02 3.312153578746342100e+04
4.598992090522438514e-02 3.279487090956955944e+04
4.652299523960189143e-02 3.245833655529532916e+04
4.706224849841281199e-02 3.211140598287698958e+04
4.760775230226368254e-02 3.175357468524513024e+04
4.815957910192350533e-02 3.138436112191393477e+04
4.871780218794630885e-02 3.100332009213915080e+04
4.928249570040513228e-02 3.061024888366751838e+04
4.985373463873893352e-02 3.020518763929155102e+04
5.043159487171358646e-02 2.978827229353165603e+04
5.101615314749833457e-02 2.935973267267366828e+04
5.160748710385907462e-02 2.892007179224912761e+04
5.220567527846975420e-02 2.846984219168756681e+04
5.281079711934331261e-02 2.800971368655921469e+04
5.342293299538352497e-02 2.754056982874119421e+04
5.404216420705915125e-02 2.706341493320234440e+04
5.466857299720180585e-02 2.657926253218241254e+04
5.530224256192900478e-02 2.608934950797227066e+04
5.594325706169377826e-02 2.559492565497156829e+04
5.659170163246242391e-02 2.509729297494643833e+04
5.724766239702178822e-02 2.459785974751887625e+04
5.791122647641758214e-02 2.409806667653330078e+04
5.858248200152536139e-02 2.359933717386706121e+04
5.926151812475552449e-02 2.310324341106633437e+04
5.994842503189409116e-02 2.261127153472174905e+04
6.064329395408061402e-02 2.212497503265912019e+04
6.134621717992506246e-02 2.164592444509779307e+04
6.205728806776500406e-02 2.117563292149857443e+04
6.277660105806499857e-02 2.071562722069839583e+04
6.350425168595962011e-02 2.026739193508043900e+04
6.424033659394190465e-02 1.983231624883301265e+04
6.498495354469888130e-02 1.941172414145638322e+04
6.573820143409585259e-02 1.900681410373797553e+04
6.650018030431117944e-02 1.861861324741628414e+04
6.727099135712336087e-02 1.824799062129927552e+04
6.805073696735206012e-02 1.789560993828831852e+04
6.883952069645496441e-02 1.756189642149207066e+04
6.963744730628222690e-02 1.724706073637965164e+04
7.044462277299036457e-02 1.695106084794170602e+04
7.126115430111745752e-02 1.667360117724138399e+04
7.208715033782135684e-02 1.641417817084631315e+04
7.292272058728312134e-02 1.617205521914625388e+04
7.376797602527730702e-02 1.594628959537623268e+04
7.462302891391107973e-02 1.573578467780047322e+04
7.548799281653431614e-02 1.553926530019653546e+04
7.636298261282241373e-02 1.535531381481673270e+04
7.724811451403400253e-02 1.518241781406902555e+04
7.814350607844541829e-02 1.501887432646316847e+04
7.904927622696419909e-02 1.486290676672651534e+04
7.996554525892346499e-02 1.471259952351628090e+04
8.089243486805938743e-02 1.456590589966138941e+04
